Country Name,Region,Happiness Score,Upper Bound of Happiness Score,Lower Bound of Happiness Score,Log GDP per Capita,Social Support Score,Healthy Life Expectancy,Freedom to Choose Score,Generosity Score,Perception of Corruption,Dystopia Residual Benchmark,Environmental Health (New),Biodiversity & Habitat (New),Forest Cover Loss (New),Rule of Law Index,Health & Pollution Exposure,Green Technology Progress,Social Stability Index,Environment-Health Composite Score,Happiness Range,Health & Environment Composite,Happiness to Corruption Ratio,Regional Insights,Unnamed: 24,Unnamed: 25
New Zealand,North America and ANZ,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567,50,38.5,52,0,96.2,35.2,0.833,25.3365,0.151,50.673,14.64375,High Happiness in North America and ANZ,,
Costa Rica,Latin America and Caribbean,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2.333,62.6,63.3,64,49.1,56.3,45.9,0.759666667,31.6305,0.191,63.261,56.54471545,High Happiness in Latin America and Caribbean,,
Kuwait,Middle East and North Africa,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884,53.7,50.5,,55.3,7,1,0.797,27.1805,0.217,54.361,40.4127907,High Happiness in Middle East and North Africa,,
Austria,Western Europe,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766,77.6,74.3,53.4,59.1,46.1,44.5,0.751,39.148,0.162,78.296,22.63934426,High Happiness in Western Europe,,
Canada,North America and ANZ,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572,60.4,52.9,65.9,89.3,67,33.1,0.806333333,30.5505,0.169,61.101,18.75,Low Happiness in North America and ANZ,,
Belgium,Western Europe,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686,68.5,66.2,47.5,92.7,48.7,46.2,0.779666667,34.595,0.134,69.19,22.16720257,High Happiness in Western Europe,,
Ireland,Western Europe,6.838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418,1.239,66.9,62.5,,60.5,67.1,36.9,0.784333333,33.8,0.178,67.6,16.35885167,Low Happiness in Western Europe,,
Lithuania,Central and Eastern Europe,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307,74.3,74.9,38.6,96.8,45.2,43.9,0.677,37.449,0.157,74.898,58.77586207,High Happiness in Central and Eastern Europe,,
United Kingdom,Western Europe,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,1.598,72.8,71.5,45.6,91.4,52.1,61.6,0.768666667,36.736,0.168,73.472,19.22792023,Low Happiness in Western Europe,,
Slovenia,Central and Eastern Europe,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683,67.4,64.9,67.6,71.2,35.8,48.4,0.816,34.0475,0.2,68.095,51.47328244,High Happiness in Central and Eastern Europe,,
United Arab Emirates,Middle East and North Africa,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741,62.4,59,,48.4,10.3,11.3,0.729333333,31.4815,0.18,62.963,26.09689922,High Happiness in Middle East and North Africa,,
United States,North America and ANZ,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873,57.2,53.5,40.7,18.1,45.5,76.6,0.733666667,28.871,0.187,57.742,39.79289941,Low Happiness in North America and ANZ,,
Germany,Western Europe,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,1.513,80.1,82.4,37.1,91.6,50,53.4,0.754666667,40.401,0.193,80.802,18.25815217,Low Happiness in Western Europe,,
Mexico,Latin America and Caribbean,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2.437,46.6,31.7,47.5,0,27.5,42.8,0.683,23.572,0.206,47.144,52.58267717,High Happiness in Latin America and Caribbean,,
Uruguay,Latin America and Caribbean,6.611,6.696,6.527,1.596,1.431,0.592,0.775,0.106,0.22,1.891,39,28.9,,71.3,48.6,31.4,0.770666667,19.796,0.169,39.592,30.05,High Happiness in Latin America and Caribbean,,
France,Western Europe,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,1.672,67.8,61.5,65.3,46.2,49,53.6,0.703333333,34.2635,0.152,68.527,23.51957295,Low Happiness in Western Europe,,
Saudi Arabia,Middle East and North Africa,6.594,6.707,6.48,1.842,1.361,0.511,0.787,0.114,0.188,1.79,50,45.4,,65.2,2.7,18.8,0.754,25.2555,0.227,50.511,35.07446809,High Happiness in Middle East and North Africa,,
Singapore,Southeast Asia,6.523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,0.788,53.8,35,18.7,48.1,32.7,32,0.757333333,27.2845,0.165,54.569,11.34434783,High Happiness in Southeast Asia,,
Romania,Central and Eastern Europe,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21,68.7,71.9,72.1,63,29.6,46.4,0.664666667,34.6415,0.202,69.283,1081.833333,High Happiness in Central and Eastern Europe,,
El Salvador,Latin America and Caribbean,6.469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253,2.424,44.8,35.5,67.6,37,10.3,44.9,0.659666667,22.6745,0.261,45.349,25.56916996,High Happiness in Latin America and Caribbean,,
Estonia,Central and Eastern Europe,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,1.138,76.6,78.8,25.9,95.2,69.3,69.6,0.832666667,38.6285,0.153,77.257,16.0798005,High Happiness in Central and Eastern Europe,,
Poland,Central and Eastern Europe,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,1.791,79.2,81.4,45.3,92.3,28.8,39.9,0.699333333,39.9195,0.143,79.839,36.81142857,High Happiness in Central and Eastern Europe,,
Spain,Western Europe,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.54,67.8,66.9,42.2,55.3,48.8,50.7,0.736333333,34.2645,0.163,68.529,36.27683616,Low Happiness in Western Europe,,
Serbia,Central and Eastern Europe,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,1.932,57.4,53.4,78,73.8,24.2,39.4,0.751333333,28.9925,0.222,57.985,63.47524752,High Happiness in Central and Eastern Europe,,
Chile,Latin America and Caribbean,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,1.858,57.4,42.5,62.1,20.6,8.3,38.1,0.712333333,29.0365,0.175,58.073,84.8,High Happiness in Latin America and Caribbean,,
Panama,Latin America and Caribbean,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,1.806,59.1,56.6,48.3,8.4,70.6,40.4,0.725,29.8665,0.262,59.733,147.8604651,High Happiness in Latin America and Caribbean,,
Malta,Western Europe,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,1.267,65.6,67.1,,75.1,69.9,59.8,0.807,33.1535,0.169,66.307,50.768,Low Happiness in Western Europe,,
Italy,Western Europe,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,1.777,62.8,58.5,61.3,57.8,31.7,48,0.651,31.76,0.225,63.52,85.45945946,Low Happiness in Western Europe,,
Guatemala,Latin America and Caribbean,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2.473,38.4,36,29.5,7.7,10.9,33.3,0.669666667,19.4335,0.34,38.867,80.6025641,High Happiness in Latin America and Caribbean,,
Nicaragua,Latin America and Caribbean,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2.203,58.5,65.5,25.2,40.9,47.7,39.5,0.729666667,29.521,0.298,59.042,25.03585657,High Happiness in Latin America and Caribbean,,
Brazil,Latin America and Caribbean,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2.068,63.9,62.3,37,62.2,39.3,44.4,0.694666667,32.224,0.236,64.448,44.16901408,High Happiness in Latin America and Caribbean,,
Slovakia,Central and Eastern Europe,6.257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,1.653,78.3,81.9,60.1,89.4,35.8,43,0.734,39.469,0.15,78.938,107.8793103,High Happiness in Central and Eastern Europe,,
Latvia,Central and Eastern Europe,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59,68.5,68.4,26.5,96.3,37.8,46.5,0.767,34.532,0.159,69.064,79.92307692,High Happiness in Central and Eastern Europe,,
Uzbekistan,Commonwealth of Independent States,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749,48.4,44,,90,23.9,38.6,0.826666667,24.4695,0.216,48.939,28.81395349,High Happiness in Commonwealth of Independent States,,
Argentina,Latin America and Caribbean,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812,46.7,34.7,44.2,54.2,44.6,39.1,0.716333333,23.6425,0.236,47.285,77.35,High Happiness in Latin America and Caribbean,,
Kazakhstan,Commonwealth of Independent States,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551,49.7,50.2,,62.3,48.2,31.1,0.779666667,25.128,0.181,50.256,51.56666667,High Happiness in Commonwealth of Independent States,,
Cyprus,Western Europe,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,1.611,56.5,51.2,60,73.4,37.1,39.6,0.623333333,28.622,0.228,57.244,123.8367347,Low Happiness in Western Europe,,
Japan,East Asia,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261,59.2,47.4,76.4,17.7,42.2,52.8,0.669666667,29.9925,0.168,59.985,27.67123288,High Happiness in East Asia,,
South Korea,East Asia,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,1.456,48.8,32.8,62,0,12.6,37.6,0.619666667,24.785,0.18,49.57,38.34177215,High Happiness in East Asia,,
Philippines,Southeast Asia,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167,33.9,24.6,49.2,0,17.4,32.8,0.690333333,17.1705,0.237,34.341,44.47058824,High Happiness in Southeast Asia,,
Vietnam,Southeast Asia,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,1.81,24.6,27.8,24.8,15.6,3.2,55.2,0.734666667,12.5695,0.19,25.139,37.76875,High Happiness in Southeast Asia,,
Portugal,Western Europe,6.03,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,1.397,62.4,59.8,11.4,66.7,55,51.9,0.724,31.5495,0.209,63.099,172.2857143,Low Happiness in Western Europe,,
Hungary,Central and Eastern Europe,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,1.4,73.2,66.9,47.4,71.6,35.5,41,0.744,36.898,0.214,73.796,89.80597015,Low Happiness in Central and Eastern Europe,,
Paraguay,Latin America and Caribbean,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,1.637,44.4,47.5,18,84.2,39.6,35.4,0.775666667,22.4745,0.217,44.949,91.95384615,Low Happiness in Latin America and Caribbean,,
Thailand,Southeast Asia,5.976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,1.463,51.3,45.9,39.8,22,11.9,43.2,0.795333333,25.96,0.236,51.92,249,High Happiness in Southeast Asia,,
Malaysia,Southeast Asia,5.975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119,1.473,38.9,28,14.5,0.1,33.7,29.2,0.732666667,19.72,0.206,39.44,50.21008403,High Happiness in Southeast Asia,,
China,East Asia,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,1.608,35.6,9.5,66,10.4,1.1,31.1,0.691666667,18.1145,0.176,36.229,36.42073171,High Happiness in East Asia,,
Honduras,Latin America and Caribbean,5.968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081,2.364,49.1,50.4,25.5,16.7,14.5,41.4,0.643333333,24.801,0.292,49.602,73.67901235,Low Happiness in Latin America and Caribbean,,
Bahrain,Middle East and North Africa,5.959,6.153,5.766,,,,,,,,36.9,25.8,,13.3,3.8,1.5,,,0.387,,,High Happiness in Middle East and North Africa,,
Croatia,Central and Eastern Europe,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,1.574,72.3,69.6,69.4,63.6,29.3,47.5,0.659333333,36.4685,0.21,72.937,138.1860465,Low Happiness in Central and Eastern Europe,,
Greece,Western Europe,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83,67,62.4,60.7,56.6,41.2,60.8,0.543666667,33.848,0.187,67.696,63.80645161,Low Happiness in Western Europe,,
Bosnia And Herzegovina,Central and Eastern Europe,5.877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0,1.64,52.1,45.8,88.4,63.5,10.5,42.1,0.728333333,26.3435,0.204,52.687,,Low Happiness in Central and Eastern Europe,,
Jamaica,Latin America and Caribbean,5.842,6.059,5.624,1.28,1.324,0.567,0.647,0.089,0.028,1.907,49.5,38.2,64.3,0,35.9,58.1,0.686666667,25.0335,0.435,50.067,208.6428571,Low Happiness in Latin America and Caribbean,,
Peru,Latin America and Caribbean,5.841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029,1.907,56,48.6,57,15.2,10.5,40.3,0.624333333,28.331,0.21,56.662,201.4137931,Low Happiness in Latin America and Caribbean,,
Dominican Republic,Latin America and Caribbean,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,1.512,57.1,57,39.9,12,53.9,38.9,0.696,28.8055,0.288,57.611,29.70918367,Low Happiness in Latin America and Caribbean,,
Mauritius,Sub-Saharan Africa,5.816,5.927,5.706,1.57,1.358,0.49,0.641,0.123,0.118,1.517,33.5,13.4,,0,88.5,40.9,0.707333333,16.995,0.221,33.99,49.28813559,High Happiness in Sub-Saharan Africa,,
Moldova,Commonwealth of Independent States,5.816,5.93,5.702,1.385,1.277,0.542,0.695,0.077,0.044,1.795,49.1,53.3,,91,35.3,42.4,0.683,24.821,0.228,49.642,132.1818182,High Happiness in Commonwealth of Independent States,,
Russia,Commonwealth of Independent States,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451,48.4,41.6,63.1,82.4,48.4,29.6,0.68,24.4655,0.147,48.931,47.80991736,High Happiness in Commonwealth of Independent States,,
Bolivia,Latin America and Caribbean,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2.02,56.6,63.5,24.4,51.9,14.9,40.7,0.666,28.544,0.221,57.088,94.81967213,Low Happiness in Latin America and Caribbean,,
Ecuador,Latin America and Caribbean,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,1.846,56.9,49.8,66.5,0,29.3,50.3,0.614666667,28.77,0.251,57.54,73.3974359,Low Happiness in Latin America and Caribbean,,
Kyrgyzstan,Commonwealth of Independent States,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,1.505,44.4,37,,63.6,45.7,45.9,0.845333333,22.494,0.163,44.988,190.4666667,High Happiness in Commonwealth of Independent States,,
Montenegro,Central and Eastern Europe,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,1.357,50.2,42.1,79.2,48.2,32.4,38.8,0.686666667,25.3935,0.216,50.787,43.23484848,Low Happiness in Central and Eastern Europe,,
Mongolia,East Asia,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64,55.2,64.2,,84.9,0,8.8,0.749666667,27.8,0.173,55.6,103.5636364,Low Happiness in East Asia,,
Colombia,Latin America and Caribbean,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,1.596,57,55.5,52.1,14.3,37.6,40.6,0.652333333,28.824,0.222,57.648,96.52542373,Low Happiness in Latin America and Caribbean,,
Venezuela,Latin America and Caribbean,5.607,5.725,5.489,1.46,1.321,0.491,0.518,0.192,0.086,2.998,61.7,61.3,69.7,37.5,62.1,45.5,0.677,31.0955,0.236,62.191,65.19767442,Low Happiness in Latin America and Caribbean,,
Indonesia,Southeast Asia,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318,38.9,30.7,31.8,19.6,23.2,29.6,0.787333333,19.686,0.204,39.372,101.2363636,High Happiness in Southeast Asia,,
Bulgaria,Central and Eastern Europe,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,1.088,70.8,69.2,80.3,80.1,21,41.9,0.724,35.6835,0.212,71.367,910.5,Low Happiness in Central and Eastern Europe,,
Armenia,Commonwealth of Independent States,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173,1.379,48.1,47.6,99.3,47.9,19.3,38.1,0.618333333,24.3515,0.21,48.703,31.53179191,Low Happiness in Commonwealth of Independent States,,
South Africa,Sub-Saharan Africa,5.422,5.549,5.295,1.389,1.369,0.322,0.537,0.078,0.034,1.693,49.3,39.5,,24.4,10.3,45,0.661333333,24.811,0.254,49.622,159.4705882,High Happiness in Sub-Saharan Africa,,
North Macedonia,Central and Eastern Europe,5.369,5.468,5.27,1.475,1.277,0.569,0.58,0.194,0.015,1.26,55.7,53,71.1,75.2,21.5,43.5,0.683666667,28.1345,0.198,56.269,357.9333333,Low Happiness in Central and Eastern Europe,,
Algeria,Middle East and North Africa,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,1.743,41.8,33,,73.8,37.1,34.7,0.509666667,21.184,0.225,42.368,26.82,High Happiness in Middle East and North Africa,,
Albania,Central and Eastern Europe,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,1.428,51.9,50.3,71.7,70,36.6,56.3,0.584,26.269,0.272,52.538,108.244898,Low Happiness in Central and Eastern Europe,,
Tajikistan,Commonwealth of Independent States,5.281,5.361,5.201,,,,,,,,47.3,53.7,,96.4,15.1,16.2,,,0.16,,,Low Happiness in Commonwealth of Independent States,,
Mozambique,Sub-Saharan Africa,5.216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196,2.536,48.8,57.1,32.5,29.2,35.2,42.6,0.589666667,24.478,0.379,48.956,26.6122449,High Happiness in Sub-Saharan Africa,,
Georgia,Commonwealth of Independent States,5.185,5.283,5.087,1.467,0.99,0.524,0.68,0,0.174,1.349,50.6,44.4,97.4,76.6,39.9,38.7,0.556666667,25.562,0.196,51.124,29.79885057,Low Happiness in Commonwealth of Independent States,,
Iraq,Middle East and North Africa,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,1.809,32.7,20,,31.6,4.2,25.5,0.520666667,16.599,0.234,33.198,107.625,Low Happiness in Middle East and North Africa,,
Nepal,South Asia,5.158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115,1.783,47.9,54.2,91.7,50.3,0,32.9,0.617333333,24.1715,0.263,48.343,44.85217391,High Happiness in South Asia,,
Laos,Southeast Asia,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,1.529,40.5,50.6,2,43.4,9.9,0,0.604,20.4615,0.244,40.923,30.77245509,Low Happiness in Southeast Asia,,
Gabon,Sub-Saharan Africa,5.106,5.243,4.969,1.403,1.038,0.344,0.516,0.045,0.1,1.66,65.4,64,80.2,84.9,15.1,47.8,0.533,32.872,0.274,65.744,51.06,High Happiness in Sub-Saharan Africa,,
Guinea,Sub-Saharan Africa,5.023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107,2.497,48.2,61,5,65.6,67.4,31.4,0.451,24.218,0.285,48.436,46.94392523,High Happiness in Sub-Saharan Africa,,
Turkiye,Middle East and North Africa,4.975,5.085,4.866,1.702,1.175,0.631,0.202,0.068,0.115,1.083,34.7,20,53.4,67.7,16,30.8,0.481666667,17.6655,0.219,35.331,43.26086957,Low Happiness in Middle East and North Africa,,
Senegal,Sub-Saharan Africa,4.969,5.096,4.841,0.927,0.751,0.392,0.607,0.152,0.069,2.071,52,56.5,28.6,78.2,100,34.7,0.503333333,26.196,0.255,52.392,72.01449275,High Happiness in Sub-Saharan Africa,,
Iran,Middle East and North Africa,4.923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123,1.057,46.3,42.8,,54.2,15.8,30.4,0.579,23.4355,0.202,46.871,40.02439024,Low Happiness in Middle East and North Africa,,
Azerbaijan,Commonwealth of Independent States,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,1.11,44.7,36.7,98.3,81.2,37.9,33,0.552,22.598,0.25,45.196,24.5879397,Low Happiness in Commonwealth of Independent States,,
Nigeria,Sub-Saharan Africa,4.881,5.018,4.744,1.042,1.075,0.256,0.566,0.201,0.019,1.722,44.2,47.1,24.4,52.7,18.3,47.8,0.614,22.228,0.274,44.456,256.8947368,High Happiness in Sub-Saharan Africa,,
Cameroon,Sub-Saharan Africa,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2.08,49.3,45.2,46.6,49,14.6,41.9,0.501,24.794,0.243,49.588,81.23333333,High Happiness in Sub-Saharan Africa,,
Ukraine,Commonwealth of Independent States,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,0.753,58.9,53.8,53.1,79.8,37.9,55.3,0.743666667,29.7065,0.23,59.413,194.92,Low Happiness in Commonwealth of Independent States,,
Namibia,Sub-Saharan Africa,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,1.446,62.7,69.5,,91.1,33,31.1,0.583666667,31.5035,0.253,63.007,79.21311475,High Happiness in Sub-Saharan Africa,,
Morocco,Middle East and North Africa,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,1.861,40,30.1,,62.2,62.1,36.6,0.381333333,20.2475,0.235,40.495,58.47560976,Low Happiness in Middle East and North Africa,,
Pakistan,South Asia,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,1.907,29.5,25.3,,41.6,0,33,0.428666667,14.9105,0.244,29.821,62.93243243,High Happiness in South Asia,,
Niger,Sub-Saharan Africa,4.556,4.712,4.401,0.573,0.677,0.293,0.615,0.145,0.147,2.107,59,69.9,,76.9,65.4,26.9,0.479,29.6465,0.311,59.293,30.99319728,High Happiness in Sub-Saharan Africa,,
Burkina Faso,Sub-Saharan Africa,4.548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179,1.999,58.6,73.3,,95.4,72.8,33.7,0.447,29.437,0.276,58.874,25.40782123,High Happiness in Sub-Saharan Africa,,
Mauritania,Sub-Saharan Africa,4.505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198,1.649,34.5,36.2,,90.4,100,31.5,0.393666667,17.45,0.336,34.9,22.75252525,High Happiness in Sub-Saharan Africa,,
Gambia,Sub-Saharan Africa,4.485,4.625,4.344,0.75,0.684,0.33,0.459,0.324,0.048,1.89,36.4,38.3,55.4,87.3,93.2,41.5,0.489,18.365,0.281,36.73,93.4375,High Happiness in Sub-Saharan Africa,,
Chad,Sub-Saharan Africa,4.471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113,2.122,51.1,60.3,,71.6,57.1,18.9,0.478,25.6495,0.317,51.299,39.56637168,High Happiness in Sub-Saharan Africa,,
Kenya,Sub-Saharan Africa,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316,49.2,43.8,,24.9,32.4,29.3,0.565333333,24.7765,0.251,49.553,64.7826087,High Happiness in Sub-Saharan Africa,,
Tunisia,Middle East and North Africa,4.422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,1.285,47.3,38.1,,83.5,33,41,0.411,23.9395,0.167,47.879,245.6666667,Low Happiness in Middle East and North Africa,,
Benin,Sub-Saharan Africa,4.377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252,2.121,56.1,63.9,28.9,70.7,36.1,26.2,0.269,28.192,0.265,56.384,17.36904762,High Happiness in Sub-Saharan Africa,,
Uganda,Sub-Saharan Africa,4.372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,1.256,45.6,51.9,29.7,15.7,7.7,40.4,0.638666667,22.9865,0.258,45.973,80.96296296,High Happiness in Sub-Saharan Africa,,
Myanmar,Southeast Asia,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,0.928,26.9,23,32,31.5,0,45.7,0.613,13.668,0.293,27.336,25.02298851,Low Happiness in Southeast Asia,,
Cambodia,Southeast Asia,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,0.765,44.7,56.9,5.9,32.3,20,21.4,0.684,22.571,0.21,45.142,61.14084507,Low Happiness in Southeast Asia,,
Ghana,Sub-Saharan Africa,4.289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028,1.273,47.8,45,8.5,45.5,49.5,25.9,0.517666667,24.08,0.214,48.16,153.1785714,Low Happiness in Sub-Saharan Africa,,
Liberia,Sub-Saharan Africa,4.269,4.474,4.063,0.619,0.673,0.301,0.546,0.178,0.075,1.878,30.3,25.7,6,72.4,76.9,40.3,0.465666667,15.3005,0.411,30.601,56.92,Low Happiness in Sub-Saharan Africa,,
Mali,Sub-Saharan Africa,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,1.734,44.7,51,,92.9,88.3,25.3,0.464666667,22.4835,0.23,44.967,47.02222222,Low Happiness in Sub-Saharan Africa,,
